id,text,label,origin,type,language,split,translated_text
en_2020,@USER_________ suboxone fiend?,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER_________ Suboxone-Süchtiger?
en_16776,rt @USER____: @USER_________ does paxil withdrawal take! extremely emotional:( switched to wellbutrin. wanna crawl in a hole.,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,rt USER____ USER_________ leidet Paxil-Absetzung! Extrem emotional( wechselt auf Wellbutrin. möchte mich in ein Loch versenken.
en_735,@USER_____ @USER_____ aku antara hate and love sama english ugh,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER_____ USER_____ Aku zwischen Hass und Liebe ist dasselbe englisch ugh
en_13622,"rt @USER_______: @USER_______ - viagra deaths - 522.  ru486 deaths - 7.  paxil deaths - 6,000+.  notice anything odd?  #txlege #sb9 #swtw #…",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,rt USER_______ USER_______ - Viagra-Todesfälle - 522. ru486-Todesfälle - 7. Paxil-Todesfälle - 6000. merkt etwas Ungewöhnliches? txlege sb9 swtw
en_13314,@USER____ @USER_________ @USER___________ @USER________ @USER___________ A friend of mine is on Suboxone and is doing great!,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER____ USER_________ USER___________ USER________ USER___________ Ein Freund meiner ist auf Suboxone und macht wunderbar!
en_5684,@USER_________ blargh hate this. particularly with seroquel at night. i not i don't sleep. if have and have more cant get up :/,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER_________ blargh hasse dies. insbesondere mit Seroquel am Abend. ich schlafe nicht. wenn ich auch mehr nehme kann ich mich nicht erheben
en_10199,@USER________ awww happy humira day boo! love u xo,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER_________ awww glücklich Humira-Tag boo! liebe dich xo
en_14236,@USER___________ loved the programme on Nov..  Really don't understand why Meridia people are still running behind illogical people..,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER___________ liebte das Programm im Nov.. Rechtlich verstehe ich nicht, warum die Meridia-Leute noch hinter irrationalen Leuten herlaufen..."
en_5125,@USER___ i had been blaming my dizziness upon standing to my menopause but now on hrt &amp; no more flashes so looked at cymbalta side effs,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER___ habe meine Schwäche beim Stehen auf meine Menopause zurückgeführt, aber jetzt auf HRT  und keine mehr Flaschen mehr, also auf Cymbalta-Nebenwirkungen geschaut"
en_16025,"@USER_______ ""That didnt rhyme""??? What the fuck are you talking about? Go take another Seroquel",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER_______ ""Das hat nicht reimt""??? Was für den Hurenkobold redest du? Gehe mal auf ein neues Seroquel"
en_13089,@USER_________ fanapt was the only thing that calmed her rages but comes with tremors.   i'm so sorry :(,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER_________ Fanapt war das einzige Mittel, was ihre Wutstürme beruhigte, aber es kommt mit Zittern vor. Ich bin so traurig ("
en_7070,i don't know if vyvanse was a good idea #nosleep,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,ich weiß nicht ob Vyvanse eine gute Idee war keinschlaf
en_8313,“@USER_____: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.”,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"""USER_____ Bananen enthalten ein natürliches Chemikalien, das einen Menschen glücklich machen kann - das gleiche Chemikalien, das in Prozac gefunden wurde."""
en_3529,"@USER____ I think I'm that too! Had rare breastmilk production on quetiapine, ultra rare hallucinations (not psychosis) on valproate.",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER____ Ich denke ich bin das auch! Habte seltene Brustmilchproduktion auf Quetiapine, ultra seltene Halluzinationen (nicht Psychose) auf Valproat."
en_15126,whoa quetiapine stop making me feel drowsy yo,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,whoa Quetiapine macht mir schlafbetäubt zu
en_6659,"@USER_____ thing about venlafaxine is the withdrawals when you're late for a dose - it's like electric shocks in your brain, and they go -",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER_____ an das Venlafaxine ist die Absetzung, wenn du spät für eine Dosis bist - es ist wie elektrische Schocks in deinem Gehirn, und sie gehen -"
en_13612,"@USER_________ lol the only one I can remember is ""Depression hurts...Cymbalta can help!""",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER_________ lol das einzige, was ich merken kann, ist ""Depression schmerzt...Cymbalta kann helfen!"""
en_10643,Delicious supper @USER_ tonight. Octopus was so meaty and the flourless chocolate cake was the bomb.,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,Delizierter Abendessen USER_ heute. Der Oktopus war so fleischig und die flourlose Schokoladentorte war der Bombe.
en_16935,"I'm so fancy, You already know, I buy branded packs. From Nexium to Lipitor #WhooDahh #WhooDahh Pharm-A-C-Y",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Ich bin so elegante, Du weißt es schon, ich kaufe markierte Pakete. Von Nexium bis Lipitor WhooDahh WhooDahh Pharm-A-C-Y"
en_17771,"fda needs a warning label on vyvanse: ""consumption of this drug may result in major ocd/many unneeded hrs at work"" HTTPURL________________	1
i guess that vyvanse want a good idea i just want to sleeeeep	1
@USER__________ lucky bitch i took vyvanse today as it makes me not eat i just wanna be able to wanna eat ugh	1
@USER______ yeah when i take vyvanse any food just looks/sounds/tastes fucking disgusting	1
i guess this is what i get for doubling my vyvanse #nosleep	1
@USER___: playing league while on vyvanse is too damn stressful.  back to public i go!	1
i need to stop the vyvanse that shit can fuck with your head	1
vyvanse completely fucks up my sleep smh but i need it to study too	1
'@USER___________: popped a vyvanse im sweatin'#schoollife	1
every day i take a vyvanse, i sleep less the next night.""",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"1. Die FDA benötigt eine Warnhinweis auf Vyvanse ""Die Konsumierung dieses Arzneimittels kann zu schweren Obsessiv-Compulsiven Störungen oder vielen unnötigen Arbeitsstunden führen"" HTTPURL________________"
en_17005,i've decided i'm really not happy with the pain lamotrigine is causing or the poor sleep. i am thinking of asking for a trial of prozac and,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"1 Ich denke, dass Vyvanse gerne eine gute Idee habe ich nur wollte schlafen"
en_12723,@USER_________ I just retweeted some Cardiology news regarding Dabigatran & post AF ablation to make u feel at home! LOL,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"1 USER__________ glückliche Hündin, ich nahm Vyvanse heute, es macht mich nicht essen, ich möchte nur wieder essen können, ugh"
en_4618,"@USER____ coming off lamotrigine has been as bad as going up on it. poorly tummy, tiredness, feeling disconnected",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,1 USER______ ja wenn ich Vyvanse nehme ist jedes Essen einfach und gar nicht lecker
en_13379,"Question: recently I have been hyper-sensitive to different textures, does anyone know if this is a bipolar / lamotrigine thing??",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,1 i guess das ist was ich mir für doppelte Menge Vyvanse verdiene keinschlaf
en_10024,"i stopped taking my seroquel because i hate it. i can barely function on it, hopefully my cpn &amp; psychiatrist can advise a 'nicer' med.",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,1 USER___ spiele League während
en_2974,Lol @ this crack head that's acting like she's afraid to take Trazodone.,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"2. Ich habe entschieden, dass ich wirklich nicht zufrieden bin mit dem Schmerz, den Lamotrigine verursacht oder der schlechten Schlafqualität. Ich denke daran, einen Probeversuch von Prozac anzufordern"
en_16911,@USER______ I did that with Paxil. Not a ride I'd wish on anyone. *sympathy*,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"3. USER_________ habe ich gerade retweetet etwas aus der Kardiologie über Dabigatran  post AF Ablation, um dich zu heimischen! LOL"
en_2615,"They keep promoting people to take Xanax, Seroquel, Molly, Promethazine, Oxy ... Cause my patients dumbasses are really doing it",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"4. USER____ kommend von Lamotrigine hat es mir so schlecht wie hinaufgehen auf es. Schlechtes Bauchgefühl, Müdigkeit, Gefühlsentzug"
en_7136,erm my pdoc wants me to go back on quetiapine. pointed out it had caused a heart arrhythmia last time. going back to gp to look at my ecg,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"5. Frage kürzlich bin ich sehr empfindlich gegenüber verschiedenen Texturen, weiß jemand ob das ein bipolares  Lamotrigine Ding ist??"
en_10093,i should just start taking my prozac again so i can stfu and go numb and maybe i won't cry anymore cos i'll be too fucking lifeless,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Ich sollte einfach wieder meine Prozac nehmen, damit ich stumm bleibe und vernervt werde und vielleicht werde ich nicht mehr trauern, weil ich zu lebenslänglich wäre"
en_10766,"@USER_________ Probably the combination with my fluoxetine. But I can't move that to night time, it makes me have bad dreams.",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER__________ Wahrscheinlich die Kombination mit meiner Fluoxetine. Aber ich kann das nicht auf den Abend verschieben, es macht mir schlechte Träume."
en_12025,"@USER______ @USER________ what i take is serious. i never was informed ahead of time. i could get ""metabolic"" syndrome from seroquel.",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER______ USER________ was ich nehme ist ernsthaft. Ich habe nie vorher informiert worden. Ich könnte von ""metabolischem"" Syndrom durch Seroquel betroffen sein."
en_4479,"Let's overdose on trazodone, and let it all fade away",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,Lass uns Trazodon überdosieren und alles verschwinden lassen
en_4263,"@USER________ i do have a crisis number, but i'm just going to knock myself out today w/ trazodone and start antipsychotics today too.",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER________ habe ich eine Krise-Nummer, aber ich werde mich heute mit Trazodon niederschlagen und Antipsychotika heute auch beginnen."
en_16947,@USER_______ i take quetiapine and it's supposed to just relax me i end up falling asleep within 2 hours. my brain's always scattered haha,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER_______ nehme ich Quetiapin und es sollte nur mich beruhigen, ich schlafe innerhalb von 2 Stunden ein. Mein Gehirn ist immer zerstreut haha"
en_10640,Vyvanse + day drinking = not a good idea. Whatever..,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,Vyvanse  Tagtrinken  kein gutes Gerüst. Was immer...
en_13989,"#test, #gear, #testosterone, #peptides, #sarms, #roids, #steroid, #steroids, #hgh, #pct, #physiqueupdate, #supplements,  #exemestane, #aromasin, #bodybuilding, #ai, #abs, #muscle, #gainzzz, #gains  USA domestic warehouse HGH HTTPURL________________    @USER___________",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Test, Gear, Testosteron, Peptiden, SARMs, Roids, Steroid, Steroide, hGH, PCT, Physiqueupdate, Supplemente, Exemestane, Aromasin, Bodybuilding, AI, Abs, Muskel, Gainzzz, Gains USA Heimlager HGH HTTPURL________________ USER___________"
en_273,@USER___________ is my memory really bad due to 900mg seroquel and 120mg cymbalta or the bipolar itself? i'm not remembering conversations,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,Ist meine Erinnerung wirklich schlecht aufgrund von 900mg Seroquel und 120mg Cymbalta oder der Bipolarstörung selbst? Ich erinnere mich nicht an Gespräche
en_3661,"Ranolazine is only approved ‘novel’ anti-anginal agent in the US; others are vasopeptidase, rho-kinase, sinus node inhibitors. #Topics2013",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Ranolazine ist nur in den USA als ""neuer"" anti-anginaler Agent zugelassen andere sind Vasopeptidase, rho-kinase, sinus node inhibitors. Topics2013"
en_4676,@USER________ want to join Viox,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,1. USER________ möchte Viox beitreten
en_2971,@USER__________ i take trazodone 50 mg!,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,2. USER__________ nehme trazodon 50 mg!
en_478,what idiot named it prozac instead of sadvil,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"3. wer hat es Prozac genannt, anstatt Sadvil?"
en_2217,"crunchy hot tubs, bubble baths and cialis lunchbox move diarrhea rush cymbalta fondle butt chris davis neuter bears",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"4. kräftige Heißbäder, Badewanne mit Schaum und Cialis im Lunchbox befördern eine schnelle Durchfallwelle, Cymbalta berühren die Hinterteilregion Chris Davis tragen ungeschlechtliche Bären"
en_1525,i have got to stop taking my vyvanse so late!! #nosleep #addproblems,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,5. muss auf meine Vyvanse spät nehmen stoppen!! keinschlafens addproblems
en_11578,@USER___________ meds work differently for each person. i know seroquel xr was hell for me &amp; i gained weight but can be heaven for another,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"6. USER___________ Medikamente wirken sich unterschiedlich auf jeden Person. Ich weiß, dass Seroquel XR für mich Hölle war und ich Gewicht zugelegt habe, aber es kann für einen anderen himmlisch sein"
en_17965,just got home from that wretched bastille i call work. i need a fucking prozac and oxycontin smoothie....,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"7. gerade zuhause von jener verfluchten Bastille, die ich Arbeit nenne. Ich brauche ein Prozac und Oxycodon-Milchshake...."
en_9130,why do i not remember going to bed or waking up (the answer: probably seroquel),1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"8. warum erinnere ich mich nicht, ins Bett zu gehen oder aufzuwachen (Antwort wahrscheinlich Seroquel)"
en_7109,i'm so allergic to trazodone but i haven't been taking it so no one believes me :::---)))),1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"9. bin so allergisch gegen Trazodon, aber habe es nicht genommen, da niemand glaubt mir ---))))"
en_17190,"@USER____ oh, ok. worth it in da long run though. seems screwed up. wasn't infliximab you were on b4? i'm still on da humira and working!",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"10. USER____ ja, ok. im Langlauf wert. scheint verrückt. war Infliximab du vorher? ich bin immer noch auf dem Humira und funktioniert!"
en_12295,whyyyyy so painful #humira ?,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,Warum ist das so schmerzhaft Humira ?
en_4688,had a great few hours on my bike but exercise drives my #olanzapine munchies. getting fed up with not being able to fit into summer wardrobe,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Es waren ein paar tolles Stunden auf dem Fahrrad, aber die Sportart treibt meine Olanzapin-Schmalzlust an. Ich bin es leid, nicht in meinen Sommerkleider passen zu können"
en_12344,lol tell me why there was adderall in a holiday charity bin #ourbestalways,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,lol warum befand sich Adderall in einem Weihnachtsmäzen für Wohltätigkeitszwecke unserbestimmer
en_12146,today was hard - arguing with a professional. was told seroquel doesn't make you put on weight - i and my extra 20kg beg to differ.,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Heute war es schwer - ich streitete mich mit einem Fachmann. Mir wurde gesagt, dass Seroquel Gewicht nicht verursacht - ich und meine zusätzlichen 20 kg widersprechen mir darauf"
en_17305,@USER____ @USER________ aw yeah i remember msbecker mentioning a drug used to take. i guessed lamictal n felt smart. didn't know bak on it,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER______ USER__________ Ja, ich erinnere mich an Msbecker, die über ein Medikament berichtet hat. Ich habe Lamictal vermutet und intelligent gewesen. Ich war nicht wieder auf es"
en_15204,@USER______ ¿Ya probaste Nexium y Motilium?,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER_____ Probierte Sie Nexium und Motilium?
en_3350,@USER_____ get checked out I found out I had Psoriatic Arthritus and am now on Humira.,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,Lassen Sie mich mein Ventolin-Inhalator und zwei Xenadrine erhalten
en_8989,give me my ventolin inhaler and two xenadrine,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER_____ meine Cousine hat Bipolarität, sie ist auf Seroquel, ihre Füße sind ständig in Bewegung und sie dreht ihr Haar ständig - ist das ein Nebenwirkung von ihnen?"
en_4456,"@USER____ my cousin has bipolar she is on seroquel, her feet are always going &amp; she twirls her hair constantly is that a side effect of them",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER______ USER___________ Ich NEHME PAXIL für die Behandlung der OCD und Angst. SSRIClub
en_11399,@USER____ @USER___________ I TAKE PAXIL FOR THE MANAGEMENT OF OCD AND ANXIETY. #SSRIClub,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER______ USER______________ ICHE NEHME PAXIL ZUM MANAGEMENT VON OCD UND ANGST. SSRIClub
en_10472,@USER__________ oh yuck. we all have our least favorite body fluid. mine is aerosolized blood. nosebleed on xarelto -eeeew,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER__________ ewiger Gekrimmelt. Wir haben alle unsere minderen Körperflüssigkeiten. Meine ist aerosolisierte Blut. Nasenbluten auf Xarelto -eeeew
en_3710,"@USER______ to it, and now I'm on Humira with just the bloat to battle. Things sometimes get super shitty in every sense. But stay strong xx",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER______ zu mir, und jetzt bin ich auf Humira mit bloß der Darmvergrößerung zu kämpfen. Manchmal wird es super schlecht in jeder Hinsicht. Aber bleib stark xx"
en_13294,"@USER____ Ah I meant helped a bit, sorry hun. Fingers crossed. Pregabalin did nothing for me. Some people get side effects on it, some don't",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER____ Ah natürlich half mir etwas, entschuldigung hun. Fingers crossed. Pregabalin hat mich nicht geholfen. Einige Menschen bekommen Seitenwirkungen an ihm, andere nicht"
en_3985,A nigga tripping off and lots of nicotine,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Ein Mensch, der sich auf viel Nikotin berauscht"
en_9108,"@USER_____ if u r on #humira and have respiratory probs - see ur doc.  that;s how it all started of me.  be well.  nice chatting,",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER_____ wenn du auf humira bist und Atemprobleme hast - siehe deinen Arzt. Das ist so begann es bei mir. bleibe gesund. nettes Gespräch,"
en_1366,@USER___ @USER___________ oh that was only last night when i was delirious on quetiapine - you took advantage of the situation.,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER___ USER___________ das war nur gestern Abend, als ich deliriert war auf Quetiapin - du nutzte die Situation aus."
en_17282,@USER___________ lots of adderall,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER___________ viel Adderall
en_16558,feeling a little dizzy from the quetiapine i just popped!,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"etwas leicht schwankend von der Quetiapin, die ich gerade eingenommen habe!"
en_1541,"Fluoxetine""@USER_: News to me. Which one in particular? RT @USER___: Wait. SSRIs relieve PMS symptoms? :O :O""",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Fluoxetine""USER_ Neues mir. Welche speziell? RT USER___ Wartet. SSRIs lindern PMS-Symptome? O O"""
en_10041,levaquin sucks. blinding headaches. vomiting. diarrhea.   time for my next dose.  happy weekend.   #tmi #fml,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,Levaquin ist schlecht. Blendende Kopfschmerzen. Erbrechen. Durchfall. Zeit für meine nächste Dosis. Frohes Wochenende. tmi fml
en_6679,Am I the only person that thinks Genovia every time I see the Januvia medicine commercial? #yesIworkinkidsbooks #doingthisforawhile,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Bin ich der einzige, der sich bei jedem Anblick des Januvia-Medikamentwerbes auf Genovia erinnert? jaIcharbeiteinkinderbüchern diesmachefürawhile"
en_10855,"@USER______ @USER________ @USER_________ ah yes, I'm starting to think my paroxetine turns panic attacks into fat.",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER______ USER________ USER_________ ja wohl, ich denke, meine Paroxetin wandelt Panikattacken in Fett um."
en_3074,"i think the lamotrigine is finally doing what it's supposed to; which is not make me sick, but keep my moods stable :) yaay &lt;3",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"scheint mir, dass die Lamotrigine endlich was tut also nicht krank machen, sondern meine Stimmungen stabil halten ) yaay lt3"
en_2955,yay mom's giving me baclofen when i get home~ i'll probably still be gorked for my physics final but i kinda don't give a fuck.,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"ja wohl, Mom gibt mir Baclofen zu Hause ich werde wahrscheinlich noch vergört sein für meinen Physik-Abschluss, aber ich gebe eigentlich nicht mehr nach."
en_16412,would like less vyvanse and more sleep in my life,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,würde gerne weniger Vyvanse und mehr Schlaf in meinem Leben haben
en_17495,@USER________ @USER_________ @USER________ For me personally it's rough.  I feel much better now that I'm off Tamoxifen.,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER________ USER_________ USER________ Ich persönlich fühle mich viel besser, seit ich von Tamoxifen abgesetzt bin."
en_8405,fat fuck dude in the crestor commercial should loose some weight.,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,dickes Ficklöchlein im Crestor-Werbespot sollte etwas abnehmen.
en_13826,"@USER_________ Yeah, they have me on metoprolol but I've been having strange side effects the last two days. I might have to go in again.",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER_________ Ja, sie haben mich auf Metoprolol gesetzt, aber ich habe die letzten beiden Tage seltsame Nebenwirkungen erlebt. Möglicherweise muss ich wieder hinein gehen."
en_14581,@USER_________ wow refreshing di antara UAS hoho.. have a nice day broh :),0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER_________ wow frisch zwischen UAS hoho.. haben einen schönen Tag broh )
en_8033,fuck some lamictal...almost died. #fuck,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,verdammt sei das Lamictal... fast gestorben. verdammt
en_2342,"effexor dreams, now with lucidity. i grant the power of flight?",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Effexor-Träume, jetzt mit Klarheit. Ich verleihe Flugfähigkeit?"
en_4626,it's not even 11pm and i'm already feeling the venlafaxine withdrawal. stupid bitch. how hard is it to pack the bloody tablets?!,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Es ist noch nicht 23 Uhr und ich fühle bereits die Absetzung von Venlafaxin. Dummste Hure. Wie schwer kann es sein, die bloden Tabletten einzupacken?!"
en_8718,"Pyrus calleryana Chanticleer espaliers, Wildflower turf, Taxus  HTTPURL________________",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Pyrus calleryana Chanticleer Espaliers, Wildblumen Rasen, Taxus HTTPURL________________"
en_9500,do i come off my medication or do i just continue to be a prozac zombie,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,komme ich von der Medikation ab oder bleibe ich nur ein Prozac-Zombie
en_5056,"@USER_____ i read about it &amp; i'm sorry if i forgot to comment, i hope you're ok. had the same thing happen to me on cipro! are u better?",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER_____ habe ich gelesen und ich bin entschuldigt, wenn ich vergessen habe zu kommentieren, ich hoffe, dass du ok bist. hatte das gleiche passiert bei Cipro! bist du wieder gut?"
en_13442,evening dose of lithium and olanzapine really knocks me out. in bed at 10.30pm on a friday night. rock and roll...#mylife,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,Abenddosis von Lithium und Olanzapin trifft mich wirklich aus. In Bett um 10.30 Uhr am Freitagabend. Rock and Roll...meineleben
en_11469,@USER_________ you always tweet depressing shit! lol take cymbalta.,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER_________ du tweetest immer düsteres Schrott! lol nehme Cymbalta.
en_8486,thought of work is overwhelming me so much i feel like crying but can't because olanzapine has me trapped in a zombie state #strugglewithin,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Arbeitsthoughts überwältigen mich so sehr, dass ich mich geradezu trauere, aber kann es mir wegen Olanzapin nicht lassen, zu weinen kampfinnereich"
en_360,@USER__________ take paxil then. no anxiety just happiness. but you et withdraws if you forget to take it.,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER__________ nehme Paxil dann. Keine Angst nur Glück. Aber du zieht Abzüge, wenn du sie vergisst."
en_5887,@USER___ @USER_________ Olanzapine being added to policy at @USER________ - awaiting approval from medicines management (so not incl here),0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER___ USER_________ Olanzapin wird der Leistung hinzugefügt bei USER________ - wartet auf Genehmigung von Arzneimittelmanagement (also nicht hier enthalten)
en_1225,"@USER_________ not the cough suppressant ones. it should just be a throat lozenge made only of pectin. feel better soon, yeah? :)",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER_________ nicht die Cough-Suppressant-Version. Es sollte nur eine Kehlkopf-Lozengen aus Pektin sein. Wünsche dir schnell Genesung, ja? )"
en_15393,"@USER______ bloody zombie I also take venlafaxine thats for cronic depression bipolar is a difficult illness to deal with, both for the",1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER______ blutiger Zombie. Ich nehme zusätzlich Venlafaxine, das ist für chronische Depression und Bipolarer Krankheit eine schwierige Erkrankung zu behandeln, sowohl für den Patienten als auch für die"
